,Name,Nicknames
6930,Everitt,"Everett,Everette"
6931,Everlee,"Everleigh,Everly"
6932,Everleigh,"Everlee,Everly"
6933,Everly,"Everlee,Everleigh"
6934,Evert,Eef
6935,Evette,Yvette
6936,Evgeni,"Evgeniy,Evgeny,Genko,Geno,Genya,Yevgeni,Yevgeniy,Yevgeny,Zhenya"
6937,Evgenia,"Evgeniya,Yevgeniya,Zhenya"
6938,Evgenij,
6939,Evgenija,
6940,Evgenios,
6941,Evgeniy,"Evgeni,Evgeny,Genya,Yevgeni,Yevgeniy,Yevgeny,Zhenya"
6942,Evgeniya,"Evgenia,Yevgeniya,Zhenya"
6943,Evgeny,"Evgeni,Evgeniy,Genya,Yevgeni,Yevgeniy,Yevgeny,Zhenya"
6944,Evhen,"Yevgen,Yevhen"
6945,Evi,"Eef,Eefje,Eva,Evy"
6946,Eviatar,Evyatar
6947,Evie,"Ava,Avah,Aviana,Avianna,Eva,Evaline,Evalyn,Eve,Eveline,Evelyn,Evelynn,Evvie"
6948,Évike,Éva
6949,Evîn,
6950,Evita,"Eva,Evelia"
6951,Evlogi,
6952,Evonne,"Evette,Yvette,Yvonne"
6953,Evpraksiya,
6954,Évrard,
6955,Evren,
6956,Evridiki,Kiki
6957,Evripidis,
6958,Evron,
6959,Evvie,"Ava,Avah,Aviana,Avianna,Eva,Evaline,Evalyn,Eve,Eveline,Evelyn,Evelynn,Evie"
6960,Evy,"Eef,Eefje,Eva,Evelina,Evi"
6961,Evyatar,Eviatar
6962,Evžen,
6963,Evženie,
6964,Ewa,
6965,Ewald,"Ewoud,Ewout"
6966,Ewan,"Eòghann,Euan,Ewen"
6967,Ewart,
6968,Ewelina,
6969,Ewen,"Eòghann,Euan,Ewan"
6970,Ewoud,"Ewald,Ewout"
6971,Ewout,"Ewald,Ewoud"
6972,Eyal,
6973,Eydís,
6974,Eylül,
6975,Eymen,
6976,Eysteinn,
6977,Eytan,Eitan
6978,Eyüp,
6979,Eyvindr,
6980,Eyvindur,
6981,Ezar,
6982,Ezechias,
6983,Ezechiel,Hiezecihel
6984,Ezekias,
6985,Ezekiel,Zeke
6986,Ezequiel,
6987,Ezer,
6988,Ezgi,
6989,Ezhil,
6990,Ezio,
6991,Eziz,
6992,'Ezra',
6993,Ezra,
6994,Ezras,
6995,Eztebe,Estebe
6996,Faarax,
6997,Faas,
6998,Fábia,Fabíola
6999,Fabia,Fabiola
7000,Fábián,
7001,Fabián,
7002,Fabian,
7003,Fabiana,
7004,Fabiano,
7005,Fabianus,
7006,Fabien,
7007,Fabienne,
7008,Fabijan,
7009,Fábio,
7010,Fabio,
7011,Fabíola,Fábia
7012,Fabiola,Fabia
7013,Fabius,
7014,Fabó,Fábián
7015,Fabrice,
7016,Fabricia,
7017,Fabrício,
7018,Fabricio,
7019,Fabricius,
7020,Fabrizia,
7021,Fabrizio,
7022,Fachtna,
7023,Facundo,
7024,Facundus,
7025,Faddei,
7026,Faddey,
7027,Fadi,
7028,Fadia,
7029,Fadil,
7030,Fadila,
7031,Faɗimatu,
7032,Fadime,
7033,Fadl,Fazl
7034,Fadumo,
7035,Fadzai,
7036,Fae,"Faith,Fay,Faye"
7037,Fáelán,
7038,Fahd,
7039,Fahim,
7040,Fahima,
7041,Fahmida,
7042,Fahri,
7043,Fahriye,
7044,Faiga,
7045,Faigel,"Faiga,Feige"
7046,Faina,
7047,Fairuz,Fayruz
7048,Fairuza,"Fairuz,Fayruz"
7049,Faisal,"Faizel,Faysal"
7050,Faith,"Fae,Fay,Faye"
7051,Faithe,"Fae,Faith,Fay,Faye"
7052,Faivish,
7053,Faiz,
7054,Faiza,Fayza
7055,Faizel,"Faisal,Faysal"
7056,Fajr,
7057,Fajra,
7058,Fakhri,
7059,Fakhriyya,
7060,Falk,
7061,Fallon,
7062,Famke,Femke
7063,Fancy,
7064,Fane,Ștefan
7065,Fang,
7066,Fannar,
7067,Fanni,"Franciska,Stefánia"
7068,Fannie,"Cissy,Fanny,Fran,Frances,Francis,Frankie,Frannie,Franny,Sissie,Sissy"
7069,Fanny,"Cissy,Fannie,Fran,France,Frances,Francette,Francine,Francis,Francisca,Françoise,Frankie,Frannie,Franny,Paca,Paquita,Sissie,Sissy,Stéphanie"
7070,Fantine,
7071,Faolán,
7072,Farag,Faraj
7073,Farah,"Fareeha,Fariha,Farrah"
7074,Farai,
7075,Faraj,Farag
7076,Faraji,
7077,Faramond,
7078,Faramund,
7079,Fareed,Farid
7080,Fareeha,"Farah,Fariha,Farrah"
7081,Fərhad,
7082,Farhad,
7083,Farhan,
7084,Farhana,
7085,Farhata,Phraates
7086,Fərid,
7087,Farid,Fareed
7088,Farida,
7089,Faridoon,"Fereydoon,Fereydoun"
7090,Fariha,"Farah,Fareeha,Farrah"
7091,Faris,
7092,Farjana,Farzana
7093,Farley,
7094,Farohildis,Pharaildis
7095,Faron,
7096,Farooq,"Farouk,Faruk,Faruq"
7097,Farouk,"Farooq,Faruk,Faruq"
7098,Farquhar,Fearchar
7099,Farrah,"Farah,Fareeha,Fariha"
7100,Farrell,
7101,Farrokh,
7102,Farruh,Farrux
7103,Farrukh,
7104,Farrux,Farruh
7105,Faruk,"Farooq,Farouk,Faruq"
7106,Faruq,"Farooq,Farouk,Faruk"
7107,Farvald,
7108,Farzana,Farjana
7109,Farzaneh,
7110,Farzona,
7111,Fatema,
7112,Fatemah,
7113,Fathi,
7114,Fathima,
7115,Fathimath,
7116,Fathiyya,Fatiha
7117,Fatih,
7118,Fatiha,Fathiyya
7119,Fátima,
7120,Fàtima,
7121,Fatima,"Fatimah,Fatma"
7122,Fatimah,"Fatima,Fatma"
7123,Fatimata,"Fatimatou,Fatou,Fatoumata,Fatuma"
7124,Fatimatou,"Fatimata,Fatou,Fatoumata,Fatuma"
7125,Fatin,
7126,Fatma,"Fatima,Fatimah,Fatoş"
7127,Fatmir,
7128,Fatmire,
7129,Fatoş,Fatma
7130,Fatou,"Fatimata,Fatimatou,Fatoumata,Fatuma"
7131,Fatoumata,"Fatimata,Fatimatou,Fatou,Fatuma"
7132,Fatsani,
7133,Fatuma,"Fatimata,Fatimatou,Fatou,Fatoumata"
7134,Fauna,
7135,Faunus,
7136,Faust,
7137,Fausta,
7138,Faustin,
7139,Faustina,
7140,Faustine,
7141,Faustino,
7142,Faustinus,
7143,Fausto,
7144,Faustus,
7145,Fawn,
7146,Fawzi,
7147,Fawziya,Fawziyya
7148,Fawziyya,Fawziya
7149,Fay,"Fae,Faith,Faye"
7150,Faye,"Fae,Faith,Fay"
7151,Fayiz,
7152,Fayruz,Fairuz
7153,Faysal,"Faisal,Faizel"
7154,Fayvel,
7155,Fayza,Faiza
7156,Fazl,Fadl
7157,Fearchar,Farquhar
7158,Feardorcha,
7159,Fearghal,Fergal
7160,Fearghas,"Fearghus,Fergie,Fergus"
7161,Fearghus,"Fearghas,Fergus"
7162,Febe,
7163,Febronia,
7164,Féchín,"Féichín,Fiachna"
7165,Fedde,
7166,Fedele,
7167,Fedelm,"Feidelm,Feidhelm"
7168,Fedelma,
7169,Fedelmid,"Fedlimid,Feidlimid"
7170,Federica,
7171,Federico,Federigo
7172,Federigo,Federico
7173,Fedir,
7174,Fedlimid,"Fedelmid,Feidlimid"
7175,Fedor,"Fedya,Feodor,Fyodor"
7176,Fedora,
7177,Fedot,
7178,Fedya,"Fedor,Feodor,Fyodor"
7179,Fehim,
7180,Fehime,
7181,Féichín,"Féchín,Fiachna"
7182,Feidelm,"Fedelm,Feidhelm"
7183,Feidhelm,"Fedelm,Feidelm"
7184,Feidhlim,"Feilim,Felim,Phelim"
7185,Feidhlimidh,"Feidhlim,Feilim,Felim,Phelim"
7186,Feidlimid,"Fedelmid,Fedlimid"
7187,Feige,
7188,Feilim,"Feidhlim,Felim,Phelim"
7189,Feivel,
7190,Feivush,
7191,Félagi,
7192,Felecia,"Felicia,Felisha,Lisha"
7193,Felice,
7194,Felícia,
7195,Felicia,"Felecia,Felisha,Lisha"
7196,Feliciana,
7197,Feliciano,
7198,Felicianus,
7199,Felicidad,
7200,Felicidade,
7201,Félicie,
7202,Felicie,
7203,Félicien,
7204,Félicienne,
7205,Felicita,
7206,Felicitás,Zita
7207,Felicitas,Felizitas
7208,Félicité,
7209,Felicity,
7210,Felicius,
7211,Felicja,
7212,Felicjan,
7213,Felicyta,Zyta
7214,Feliks,
7215,Felim,"Feidhlim,Feilim,Phelim"
7216,Felina,
7217,Feline,
7218,Felinus,
7219,Felip,
7220,Felipa,
7221,Felipe,Filipe
7222,Felipinho,"Felipe,Filipe"
7223,Felisa,
7224,Felisha,"Felecia,Felicia,Lisha"
7225,Feliu,
7226,Félix,
7227,Felix,
7228,Felizitas,Felicitas
7229,Femi,"Olufemi,Oluwafemi"
7230,Femie,"Effie,Eppie,Euphemia"
7231,Femke,Famke
7232,Femme,
7233,Fen,
7234,Fenella,Finella
7235,Fenna,Fenne
7236,Fenne,Fenna
7237,Fenrir,
7238,Fenton,
7239,Feodor,"Fedor,Fedya,Fyodor"
7240,Feodora,
7241,Feodosiy,
7242,Feodosiya,
7243,Feofan,
7244,Feofil,
7245,Feofilakt,
7246,Ferapont,
7247,Feray,
7248,Ferchar,
7249,Ferdi,Ferdinand
7250,Ferdie,"Ferdinand,Ferdy"
7251,Ferdinánd,Nándor
7252,Ferdinand,"Ferdi,Ferdie,Ferdo,Ferdy,Fernand"
7253,Ferdinanda,Fernanda
7254,Ferdinando,Nando
7255,Ferdo,Ferdinand
7256,Ferdous,Ferdousi
7257,Ferdousi,Ferdous
7258,Ferdowsi,Firdausi
7259,Ferdy,"Ferdie,Ferdinand"
7260,Ferdynand,
7261,Ferenc,Feri
7262,Fereshteh,
7263,Fereydoon,"Faridoon,Fereydoun"
7264,Fereydoun,"Faridoon,Fereydoon"
7265,Fergal,Fearghal
7266,Fergie,"Fearghas,Fergus"
7267,Fergus,"Fearghas,Fearghus,Fergie"
7268,Ferhat,
7269,Feri,Ferenc
7270,Ferid,
7271,Feride,
7272,Feridun,
7273,Feriha,
7274,Ferit,
7275,Ferkó,"Ferenc,Feri"
7276,Fermín,
7277,Fermin,"Fermintxo,Mintxo"
7278,Fermintxo,"Fermin,Mintxo"
7279,Fern,Ferne
7280,Fernand,Ferdinand
7281,Fernanda,Ferdinanda
7282,Fernande,
7283,Fernando,"Fernão,Hernán,Hernando,Nando"
7284,Fernão,"Fernando,Nando"
7285,Ferne,Fern
7286,Feroz,Feroze
7287,Feroze,Feroz
7288,Ferran,
7289,Ferrer,
7290,Ferruccio,
7291,Ferrutius,
7292,Feruza,
7293,Fester,
7294,Festus,
7295,Fevronia,
7296,Fevzi,
7297,Fevziye,
7298,Ffion,
7299,Fflur,
7300,Ffraid,
7301,Ffransis,
7302,Fiachna,"Féchín,Féichín"
7303,Fiachra,Fiachrae
7304,Fiachrae,Fiachra
7305,Fiacre,
7306,Fiadh,
7307,Fiammetta,
7308,Fianna,
7309,Fidan,
7310,Fidda,Fizza
7311,Fidel,
7312,Fidela,
7313,Fidelia,Fidela
7314,Fidelis,
7315,Fidelma,
7316,Fido,
7317,Fieke,"Josefien,Josephine,Pien,Sofie,Sophie"
7318,Fien,"Fiene,Josefien,Josephine"
7319,Fiene,"Fien,Josefien,Josephine"
7320,Fiera,
7321,Fiete,"Fred,Friedrich,Fritz"
7322,Fife,
7323,Fifi,"Josée,Josèphe,Joséphine,Josette,Josiane"
7324,Figaro,
7325,Fihr,
7326,Fikret,Fikri
7327,Fikri,Fikret
7328,Fikriye,
7329,Fikriyya,
7330,Filadelfo,
7331,Filat,
7332,Filbert,
7333,Filemón,
7334,Filib,
7335,Filibert,
7336,Filiberto,
7337,Filimena,
7338,Filimon,
7339,Filip,"Flip,Philip"
7340,Filipa,
7341,Filipe,Felipe
7342,Filipina,
7343,Filipp,
7344,Filippa,
7345,Filippo,
7346,Filippos,
7347,Filippu,
7348,Filippus,
7349,Filips,
7350,Filiz,
7351,Fillin,
7352,Filomena,
7353,Fima,Yefim
7354,Fina,Serafina
7355,Finbar,"Bairre,Barra,Barry"
7356,Finbarr,
7357,Findláech,
7358,Findlay,"Finlay,Fionnlagh"
7359,Finees,
7360,Finella,Fenella
7361,Fingal,
7362,Finka,Jozefina
7363,Finlay,"Findlay,Finley,Finnley,Fionnlagh"
7364,Finley,"Finlay,Finnley"
7365,Finn,"Finnán,Finnén,Fionn,Fynn"
7366,Finnán,"Finn,Finnén"
7367,Finnbar,
7368,Finnbarr,
7369,Finnegan,
7370,Finnén,"Finn,Finnán"
7371,Finnguala,"Fionnghuala,Fionnuala"
7372,Finnian,
7373,Finnley,"Finlay,Finley"
7374,Finnr,
7375,Finnuala,"Finola,Fionnuala,Nuala"
7376,Finnur,
7377,Finola,"Finnuala,Fionnuala,Nuala"
7378,Fintan,Fionntan
7379,Fion,
7380,Fíona,
7381,Fiona,
7382,Fionn,"Finn,Fionnán"
7383,Fionnán,"Finn,Finnian,Fionn"
7384,Fionnbarra,
7385,Fionnbharr,"Bairre,Barra,Finbar,Finbarr"
7386,Fionnghal,
7387,Fionnghuala,"Finnguala,Fionnuala"
7388,Fionnlagh,"Findlay,Finlay"
7389,Fionntan,Fintan
7390,Fionnuala,"Finnguala,Finnuala,Finola,Fionnghuala,Nuala"
7391,Fionola,"Finnuala,Finola,Fionnuala,Nuala"
7392,Fioralba,
7393,Fiore,"Fiorella,Flora"
7394,Fiorella,Fiore
7395,Fiorenza,
7396,Fiorenzo,
7397,Fiorino,
7398,Fırat,
7399,Firdaus,"Firdos,Firdous"
7400,Firdausi,Ferdowsi
7401,Firdos,"Firdaus,Firdous"
7402,Firdous,"Firdaus,Firdos"
7403,Firenze,
7404,Firmin,
7405,Firmino,
7406,Firminus,
7407,Firoozeh,"Firouzeh,Firuzeh"
7408,Firouz,"Firuz,Pirooz,Pirouz,Piruz"
7409,Firouzeh,"Firoozeh,Firuzeh"
7410,Firoz,
7411,Firuz,"Firouz,Pirooz,Pirouz,Piruz"
7412,Firuza,Firuzə
7413,Firuzə,Firuza
7414,Firuze,
7415,Firuzeh,"Firoozeh,Firouzeh"
7416,Fishel,
7417,Fisher,
7418,Fishke,Fishel
7419,Fito,"Adolfo,Rodolfo"
7420,Fitz,
7421,Fitzroy,
7422,Fitzwilliam,
7423,Fizza,Fidda
7424,Fjolla,
7425,Flæmingr,
7426,Flaithrí,
7427,Flaka,
7428,Flamur,
7429,Flanagan,
7430,Flann,Flannán
7431,Flannán,Flann
7432,Flannery,
7433,Flávia,
7434,Flavia,
7435,Flavian,
7436,Flaviana,
7437,Flaviano,
7438,Flavianus,
7439,Flavie,
7440,Flavien,
7441,Flavienne,
7442,Flávio,
7443,Flavio,
7444,Flaviu,Flavius
7445,Flavius,Flaviu
7446,Flemming,
7447,Fletcher,
7448,Fleur,
7449,Fleurette,Fleur
7450,Flick,Felicity
7451,Flint,
7452,Flip,"Filip,Philip"
7453,Flo,"Flora,Florence,Floretta,Florrie,Florry,Flossie"
7454,Floella,"Flo,Flora,Florence,Floretta,Florrie,Florry,Flossie"
7455,Floor,"Floortje,Flora,Floris"
7456,Floortje,"Floor,Flora"
7457,Flor,"Florencia,Florinda"
7458,Flóra,
7459,Flora,"Fiore,Flo,Floor,Floortje,Flore,Floretta,Florrie,Florry"
7460,Flore,Flora
7461,Florence,"Flo,Florrie,Florry,Flossie"
7462,Florência,
7463,Florencia,Flor
7464,Florêncio,
7465,Florencio,
7466,Florent,
7467,Florentia,
7468,Florentin,
7469,Florentina,
7470,Florentine,
7471,Florentino,
7472,Florentinus,
7473,Florentius,
7474,Floretta,"Flo,Flora,Florrie,Florry"
7475,Florette,"Flora,Flore"
7476,Flórián,
7477,Florián,
7478,Florian,
7479,Floriana,
7480,Floriane,
7481,Florianne,Floriane
7482,Floriano,
7483,Florianus,
7484,Florijan,
7485,Florimond,
7486,Florin,
7487,Florina,
7488,Florinda,Flor
7489,Florine,
7490,Florinus,
7491,Floris,Floor
7492,Floro,Fiore
7493,Florrie,"Flo,Flora,Florence,Floretta,Florry,Flossie"
7494,Florry,"Flo,Flora,Florence,Floretta,Florrie,Flossie"
7495,Florus,
7496,Flossie,"Flo,Florence,Florrie,Florry"
7497,Flower,
7498,Floyd,
7499,Flutura,
7500,Flynn,
7501,Foka,
7502,Folami,
7503,Folant,
7504,Folcher,
7505,Folke,
7506,Fólki,
7507,Foma,
7508,Fons,Alfons
7509,Forbes,
7510,Ford,
7511,Forest,Forrest
7512,Forrest,Forest
7513,Fortuna,
7514,Fortunata,
7515,Fortunato,
7516,Fortunatus,
7517,Fortune,
7518,Foster,
7519,Foteini,Fotini
7520,Fotini,Foteini
7521,Fotios,Fotis
7522,Fotis,Fotios
7523,Fouad,Fuad
7524,Fox,
7525,Fran,"Cissy,Curro,Fannie,Fanny,Franc,France,Frances,Franci,Francis,Francisco,Frančišek,Frane,Franjo,Frank,Frankie,Frannie,Franny,Frano,Kiko,Paco,Pancho,Paquito,Sissie,Sissy"
7526,Franc,"Fran,France,Franci,Frančišek"
7527,Franca,Francesca
7528,France,"Fanny,Fran,Franc,Francette,Franci,Francine,Frančišek,Françoise"
7529,Francene,Francine
7530,Frances,"Cissy,Fannie,Fanny,Fran,Francis,Frankie,Frannie,Franny,Sissie,Sissy"
7531,Francesc,Cesc
7532,Francesca,Franca
7533,Francesca Pia,
7534,Francesco,Franco
7535,Francesco Pio,
7536,Francescu,
7537,Francette,"Fanny,France,Francine,Françoise"
7538,Franci,"Fran,Franc,France,Frančišek"
7539,Francine,"Fanny,France,Francette,Françoise"
7540,Francis,"Cissy,Fannie,Fanny,Fran,Frances,Frank,Frankie,Frannie,Franny,Sissie,Sissy"
7541,Francisca,"Chica,Fanny,Paca,Paquita"
7542,Francisco,"Chico,Curro,Fran,Kiko,Paco,Pancho,Paquito"
7543,Francisco Javier,
7544,Franciscus,Frans
7545,Frančišek,"Fran,Franc,France,Franci"
7546,Frančiška,Francka
7547,Franciska,Fanni
7548,Francisque,
7549,Franciszek,
7550,Franciszka,
7551,Franck,
7552,Francka,Frančiška
7553,Franco,Francesco
7554,François,
7555,Françoise,"Fanny,France,Francette,Francine"
7556,François-Marie,
7557,Frane,"Fran,Franjo,Frano"
7558,Frang,
7559,Frangag,
7560,Franjo,"Fran,Frane,Frano"
7561,Frank,"Fran,Francis,Frankie,Franklin,Franny"
7562,Franka,
7563,Frankenstein,
7564,Frankie,"Cissy,Fannie,Fanny,Fran,Frances,Francis,Frank,Franklin,Frannie,Franny,Sissie,Sissy"
7565,Franklin,"Frank,Frankie"
7566,Franklyn,
7567,Franko,
7568,Frannie,"Cissy,Fannie,Fanny,Fran,Frances,Francis,Frankie,Franny,Sissie,Sissy"
7569,Franny,"Cissy,Fannie,Fanny,Fran,Frances,Francis,Frank,Frankie,Frannie,Sissie,Sissy"
7570,Frano,"Fran,Frane,Franjo"
7571,Frans,Franciscus
7572,Frañsez,
7573,Frañseza,
7574,František,
7575,Františka,
7576,Frantzisca,
7577,Frantziscu,
7578,Frantziska,
7579,Frantzisko,Patxi
7580,Franz,
7581,Fränze,"Franzi,Franziska,Ziska"
7582,Franzi,"Fränze,Franziska,Ziska"
7583,Franziska,"Fränze,Franzi,Ziska"
7584,Franz Xaver,
7585,Fraser,
7586,Frauke,
7587,Frazier,
7588,Frea,
7589,Fred,"Alfred,Fiete,Freddie,Freddy,Frédéric,Frederick,Frederico,Frederik,Fredric,Fredrick,Freek,Friedrich,Frits,Fritz,Manfred,Rik"
7590,Freda,"Alfreda,Freddie,Winifred,Winnie,Winnifred"
7591,Freddie,"Alfreda,Fred,Freda,Freddy,Frederick,Fredric,Fredrick,Winifred,Winnie,Winnifred"
7592,Freddy,"Fred,Freddie,Frederick,Frederik,Fredric,Fredrick,Freek,Frits,Rik"
7593,Fredenand,
7594,Frédéric,Fred
7595,Frederica,
7596,Frederick,"Fred,Freddie,Freddy,Fredric,Fredrick"
7597,Frederico,Fred
7598,Frederik,"Fred,Freddy,Freek,Frits,Rik"
7599,Frederikke,Rikke
7600,Frédérique,
7601,Frediano,
7602,Fredo,"Alfredo,Federico,Federigo,Goffredo"
7603,Fredric,"Fred,Freddie,Freddy,Frederick,Fredrick"
7604,Fredrick,"Fred,Freddie,Freddy,Frederick,Fredric"
7605,Fredrik,Veeti
7606,Fredrika,"Riika,Riikka,Rika"
7607,Freek,"Fred,Freddy,Frederik,Frits,Rik"
7608,Freeman,
7609,Freida,"Elfreda,Elfrieda,Frieda"
7610,Frej,
7611,Freja,
7612,Frens,Frenske
7613,Frenske,Frens
7614,Frey,Freyr
7615,Freya,Freyja
7616,Freyde,
7617,Freyja,Freya
7618,Freyr,Frey
7619,Fricis,Frīdrihs
7620,Frida,
7621,Fridenot,
7622,Friderik,
7623,Frideswide,
7624,Frīdrihs,Fricis
7625,Fridtjof,
7626,Friduhelm,
7627,Friduman,
7628,Fridumar,
7629,Friduric,
7630,Fridwald,
7631,Frieda,"Elfreda,Elfrieda,Elfriede,Freida,Friede,Friederike,Fritzi,Rike"
7632,Friede,"Elfriede,Frieda,Friederike,Fritzi,Rike"
7633,Friedemann,
7634,Friederike,"Frieda,Friede,Fritzi,Rike"
7635,Friedhelm,
7636,Friedhold,
7637,Friedrich,"Fiete,Fred,Fritz"
7638,Frige,
7639,Frigg,
7640,Frigidianus,
7641,Frigyes,
7642,Friso,
7643,Fríða,
7644,Friðrik,
7645,Friðrika,
7646,Friðþjófr,
7647,Friðuswiþ,
7648,Fritiof,
7649,Fritjof,Fridtjof
7650,Frits,"Fred,Freddy,Frederik,Freek,Rik"
7651,Fritz,"Fiete,Fred,Friedrich"
7652,Fritzi,"Frieda,Friede,Friederike,Rike"
7653,Frode,
7654,Frodo,
7655,Frona,
7656,Frosina,
7657,Fróði,
7658,Frøya,
7659,Fruma,
7660,Fruzsina,
7661,Fryderyk,
7662,Fryderyka,
7663,Fu,
7664,Fuad,Fouad
7665,Fuat,
7666,Fūjin,
7667,Fulbert,
7668,Fulco,
7669,Fulgencio,
7670,Fulgentius,
7671,Fulgenzio,
7672,Fulk,Fulke
7673,Fulke,Fulk
7674,Fülöp,
7675,Fulton,
7676,Fulvia,
7677,Fúlvio,
7678,Fulvio,
7679,Fulvius,
7680,Fumihito,
7681,Fumnanya,Ifunanya
7682,Funda,
7683,Fungai,
7684,Funmilayo,
7685,Funs,Funske
7686,Funske,Funs
7687,Furaha,
7688,Furiosa,
7689,Furkan,
7690,Furqan,
7691,Füsun,
7692,Fuyuko,
7693,Fyfe,
7694,Fynn,Finn
7695,Fyodor,"Fedor,Fedya,Feodor"
7696,Fyokla,
7697,Gabby,"Brielle,Gabe,Gabriel,Gabrielle"
7698,Gabe,"Gabby,Gabriel"
7699,Gabi,"Ella,Gábor,Gábriel,Gabriel,Gabriela,Gabriele,Gabriella,Gavril,Gavrila"
7700,Gabija,
7701,Gabin,
7702,Gabino,
7703,Gabinus,
7704,Gabir,Jabir
7705,Gábor,"Gabi,Gábriel"
7706,Gabr,Jabr
7707,Gábriel,"Gabi,Gábor"
7708,Gabriël,
7709,Gabriel,"Biel,Gabby,Gabe,Gabi,Gavril,Kaapo"
7710,Gabriela,"Gabi,Gabriele"
7711,Gabriele,"Gabi,Gabriela"
7712,Gabrielė,
7713,Gabrielius,
7714,Gabriella,"Bree,Bria,Briella,Ella,Gabi"
7715,Gabriëlle,
7716,Gabrielle,"Brielle,Gabby"
7717,Gabriels,
7718,Gabrijel,
7719,Gabrijela,
7720,Gad,
7721,Gadar,Katar
7722,Gadisa,
7723,Gadise,
7724,Gae,"Gay,Gaye"
7725,Gaea,Gaia
7726,Gaël,Gael
7727,Gael,Gaël
7728,Gaëlle,
7729,Gaenor,Gaynor
7730,Gaétan,Gaëtan
7731,Gaëtan,Gaétan
7732,Gaetana,
7733,Gaétane,
7734,Gaëtane,
7735,Gaetano,
7736,Gafar,"Jafar,Jaffar,Jaffer"
7737,Gage,
7738,Gaheriet,Gareth
7739,Gaheris,
7740,Gai,Guy
7741,Gaia,Gaea
7742,Gaiana,Gaiane
7743,Gaiane,Gaiana
7744,Gail,"Abbey,Abbi,Abbie,Abby,Abi,Abigail,Abigayle,Gale,Gayla,Gayle"
7745,Gaila,"Abbey,Abbi,Abbie,Abby,Abi,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
7746,Gaios,
7747,Gaioz,
7748,Gaius,Caius
7749,Gaizka,
7750,Gaja,Kaja
7751,Gál,
7752,Gal,"Galia,Galit"
7753,Gala,"Galina,Galya"
7754,Galaad,Galahad
7755,Galadriel,
7756,Galahad,Galaad
7757,Galaktion,
7758,Galal,Jalal
7759,Gale,"Abbey,Abbi,Abbie,Abby,Abi,Abigail,Abigayle,Gail,Gayla,Gayle"
7760,Galeazzo,
7761,Galen,
7762,Galena,"Galina,Galya"
7763,Galene,
7764,Galenos,
7765,Gali,
7766,Galia,"Gal,Galit"
7767,Galila,Jalila
7768,Galilahi,
7769,Galina,"Gala,Galena,Galya"
7770,Galini,
7771,Galip,
7772,Galit,"Gal,Galia"
7773,Gall,
7774,Gal·la,
7775,Galla,
7776,Gallagher,
7777,Gallchobhar,
7778,Gallcobar,
7779,Gallo,
7780,Gallus,
7781,Galo,
7782,Galvão,
7783,Galya,"Gala,Galena,Galina"
7784,Gamal,"Jamaal,Jamal"
7785,Gamaliel,
7786,Gamil,"Jameel,Jamil"
7787,Gamila,"Djamila,Jameela,Jamila,Jamillah"
7788,Gamze,
7789,Ganbaatar,
7790,Ganbold,
7791,Gandalf,Gandálfr
7792,Gandálfr,Gandalf
7793,Ganesh,
7794,Ganesha,
7795,Gang,
7796,Gani,Isagani
7797,Ganix,
7798,Ganizani,
7799,Ganna,Hanna
7800,Gantulga,
7801,Ganymede,Ganymedes
7802,Ganymedes,Ganymede
7803,Ganzorig,
7804,Garaile,
7805,Garbán,
7806,Garbhán,Garvan
7807,Garbi,Garbiñe
7808,Garbiñe,Garbi
7809,Gardenia,
7810,Garegin,"Garen,Karekin,Karen"
7811,Garen,"Garegin,Karekin,Karen"
7812,Gareth,"Gaheriet,Gaz"
7813,Garey,
7814,Garfield,
7815,Gargi,
7816,Garland,
7817,Garnet,
7818,Garnett,
7819,Garnette,Garnet
7820,Garnier,
7821,Garret,
7822,Garrett,
7823,Garrick,
7824,Garry,
7825,Garsea,
7826,Garth,
7827,Garvan,Garbhán
7828,Gary,Gaz
7829,Gáspár,
7830,Gaspar,"Caspar,Jasper"
7831,Gaspard,
7832,Gaspare,
7833,Gasparo,
7834,Gašper,
7835,Gasto,
7836,Gastón,
7837,Gaston,
7838,Gastone,
7839,Gathbiyya,"Gazbiyya,Jathbiyya,Jathibiyya"
7840,Gaubert,
7841,Gaufrid,
7842,Gauhar,
7843,Gaultier,
7844,Gauri,
7845,Gautam,Goutam
7846,Gautama,
7847,Gautbert,Gozzo
7848,Gaute,
7849,Gauthier,Gautier
7850,Gauti,
7851,Gautier,Gauthier
7852,Gautselin,Gozzo
7853,Gautstafr,
7854,Gautvin,
7855,Gauvain,"Gawain,Gualguainus,Walganus"
7856,Gavin,
7857,Gavino,
7858,Gavrail,Gavril
7859,Gavrel,
7860,Gavri'el,
7861,Gavriel,
7862,Gavriil,
7863,Gavriilu,
7864,Gavril,"Gabi,Gabriel,Gavrail"
7865,Gavrila,
7866,Gavrilo,
7867,Gawahir,Jawahir
7868,Gawain,"Gauvain,Gualguainus,Walganus"
7869,Gawdat,Jawdat
7870,Gaweł,
7871,Gay,Gaye
7872,Gayan,
7873,Gayane,
7874,Gayathri,
7875,Gayatri,
7876,Gaye,Gay
7877,Gayelord,Gaylord
7878,Gayla,"Abbey,Abbi,Abbie,Abby,Abi,Abigail,Abigayle,Gail,Gale,Gayle"
